Date,Adress,Size,Rooms,Broker,Rent,Price
10 december 2020,Folkparksvägen 182,"91,5",4,SkandiaMäklarna Älvsjö,4874,4650000
10 december 2020,"Lustigkullavägen 7, 3 tr","91,5",4,Fastighetsbyrån Hägersten/Älvsjö,4717,6000000
10 december 2020,"Pargasgatan 11, 1tr",93,4,Lagerlöfs,5016,2750000
9 december 2020,"Ringvägen 41 B, vån 6 / 6.",91,4,Fastighetsbyrån Stockholm - Södermalm,4261,7500000
9 december 2020,Solberga ängsväg 5A,"92,5",4,BOSTHLM Älvsjö,5585,4000000
9 december 2020,"Sköntorpsvägen 128, 3 tr",94,4,BOSthlm Årsta,5371,5860000
6 december 2020,Atlasgatan 3,92,3,BOSTHLM,4016,8450000
4 december 2020,Folkparksvägen 182,"91,5",4,Notar,4785,4580000
3 december 2020,Sorögatan 55,"91,5",4,Fastighetsbyrån Kista,6054,2700000
3 december 2020,Furusundsgatan 7,90,4,Notar,5501,8595000
3 december 2020,Nybohovsbacken 21,91,4,Mäklarhuset Liljeholmen,4060,5550000
2 december 2020,Folkparksvägen 130,94,4,Svenska Mäklarhuset Älvsjö/Bandhagen,4961,4630000
2 december 2020,"Sandalettgatan 7, Högst upp",94,4,Erik Olsson Fastighetsförmedling,5029,5500000
1 december 2020,"Skeppstavägen 29, 3 tr",93,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5516,3440000
1 december 2020,Gransätragränd 10,94,4,Tomas Mäklarbyrå AB,5229,2850000
1 december 2020,"Ågesta Broväg 63, 3tr",91,4,HusmanHagberg Farsta,5707,3875000
30 november 2020,"Sjöviksvägen 37, 5tr","93,4",4,Södermäklarna,4236,7350000
30 november 2020,Lämmelgränd 9,91,4,Urban by ESNY,4576,7000000
29 november 2020,Lugnets Allé 55,94,4,Fastighetsbyrån Stockholm - Hammarby Sjöstad,5683,6600000
28 november 2020,Lofotengatan 8,91,4,Unik Fastighetsförmedling AB,6683,2840000
