Date,Adress,Size,Rooms,Broker,Rent,Price
2021037.0,Ågesta Broväg 48,94.0,4.0,Bjurfors Hammarby/Skarpnäck & Farsta,5229.0,4885000.0
2021036.0,Skagersvägen 24,94.0,4.0,HusmanHagberg Enskede,5621.0,8150000.0
2021036.0,Hjalmar Söderbergs väg 4,92.0,4.0,Diplomat Fastighetmäkleri,4702.0,7820000.0
2021035.0,Drakenbergsgatan 5,92.0,4.0,Notar,3824.0,7710000.0
2021034.0,Lillhagsvägen 24,90.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6344.0,2880000.0
2021034.0,P O Hallmans gata 3,91.0,4.0,Widerlöv Stockholm,5292.0,8800000.0
2021034.0,Industrigatan 8,90.0,4.0,Mäklarhuset Stockholm Innerstan,3449.0,7700000.0
2021033.0,Slättåkragränd 26,95.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5255.0,3060000.0
2021033.0,Gransätragränd 11,94.5,4.0,Tomas Mäklarbyrå AB,5647.0,3180000.0
2021033.0,Pilvingegatan 42,90.0,4.0,BOSthlm Årsta,5575.0,3660000.0
2021032.0,Tideliusgatan 67,90.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Södermalm,4134.0,7500000.0
2021032.0,Gammelgårdsvägen 28,90.0,4.0,MOHV Solna,4314.0,6995000.0
2021032.0,Arbetargatan 33E,94.0,4.0,Erik Olsson Fastighetsförmedling,4462.0,11135000.0
2021031.0,Norrbackagatan 7,91.0,3.0,Fastighetsbyrån Stockholm - Vasastan,2899.0,7240000.0
20210227.0,Fyrvaktarkroken 59,93.0,4.0,HusmanHagberg Enskede,4632.0,6650000.0
20210227.0,Vintrosagatan 11,95.0,4.0,BOSTHLM Älvsjö,4873.0,3500000.0
20210226.0,Kratsbodavägen 44D,90.0,4.0,Bjurfors Bromma,4530.0,6995000.0
20210226.0,Tummelisas Gata 4,94.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5500000.0
20210225.0,Tellusborgsvägen 65E,94.0,4.0,Notar,4051.0,7800000.0
20210225.0,Lövängsgatan 14,92.0,4.0,Notar,4701.0,8600000.0
20210224.0,Anna sandströms gata 4,95.0,4.0,HusmanHagberg Hägersten,5215.0,5200000.0
20210223.0,Brännkyrkagatan 42,90.0,4.0,Historiska Hem,5957.0,9600000.0
20210223.0,Norra Agnegatan 34 A,93.0,4.0,Skeppsholmen Sotheby's International Realty,3737.0,9125000.0
20210222.0,Västertorpsvägen 158,93.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5319.0,4800000.0
