Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm,PricePerRoom
20210219.0,Skeppstavägen 29,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5516.0,4150000.0,28.0,59.26689268727064,18.058090209960934,44624.0,1037500.0
20210219.0,Mariehällsvägen 16,91.8,4.0,Notar,5478.0,5650000.0,113.0,59.36010506813295,17.957839965820312,61547.0,1412500.0
20210212.0,Lignagatan 7,92.0,4.0,Södermäklarna,3982.0,6800000.0,394.0,59.31528288641451,18.03749084472656,73913.0,1700000.0
20210211.0,Johan Skyttes väg 187,94.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,4691.0,5550000.0,26.0,59.27847051670478,18.008651733398438,59043.0,1387500.0
20210211.0,Ålgrytebacken 12,94.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,4299.0,4000000.0,12.0,59.29845931657764,17.93243408203125,42553.0,1000000.0
20210211.0,Sköntorpsvägen 126,94.0,4.0,BOSthlm Årsta,5371.0,6800000.0,267.0,59.30161436983947,18.05259704589844,72340.0,1700000.0
2021029.0,Astrakangatan 107,92.0,4.0,Blok,5381.0,2750000.0,14.0,59.37235083870166,17.839736938476562,29891.0,687500.0
2021026.0,Vintrosagatan 56 5tr,90.0,4.0,HusmanHagberg Huddinge,4694.0,2770000.0,12.0,59.259522928155576,18.02032470703125,30778.0,692500.0
2021025.0,Annedalsvägen 59,94.0,4.0,Svenska Mäklarhuset Bromma,4759.0,5500000.0,54.0,59.36535379670071,17.948226928710938,58511.0,1375000.0
2021024.0,Sköntorpsvägen 124,94.0,4.0,BOSthlm Årsta,5371.0,5625000.0,290.0,59.30196491325117,18.05328369140625,59840.0,1406250.0
2021023.0,Sköndalsvägen 116,92.5,4.0,Notar,4953.0,4250000.0,15.0,59.25215157473893,18.11714172363281,45946.0,1062500.0
2021023.0,Piongränd 13,95.0,4.0,Mats Holmgren FB,5568.0,2695000.0,12.0,59.36150480846307,17.836990356445312,28368.0,673750.0
2021022.0,Jämtlandsgatan 88,90.0,4.0,SkandiaMäklarna Vällingby/Hässelby/Kista,5204.0,3000000.0,36.0,59.360455008627824,17.871322631835938,33333.0,750000.0
20210129.0,Beckomberga Ängsväg 39,91.0,4.0,Fastighetsbyrån Bromma,4800.0,4850000.0,21.0,59.3555555133374,17.898101806640625,53297.0,1212500.0
20210129.0,Lillhagsvägen 22,90.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6344.0,3050000.0,21.0,59.267594485949715,18.012771606445312,33889.0,762500.0
20210127.0,Harplingegränd 76,95.0,4.0,SkandiaMäklarna Årsta,4823.0,3085000.0,29.0,59.287589671024044,18.03680419921875,32474.0,771250.0
20210127.0,Beckomberga Ängsväg 20,91.0,4.0,Svenska Mäklarhuset Bromma,4730.0,4695000.0,20.0,59.35660546472486,17.898788452148438,51593.0,1173750.0
20210127.0,Grafikvägen 30,94.0,4.0,Erik Olsson Fastighetsförmedling,4770.0,6320000.0,423.0,59.29705697675893,18.075942993164066,67234.0,1580000.0
20210125.0,Högviltsgatan 10,91.0,4.0,Unik Fastighetsförmedling AB,5051.0,7400000.0,123.0,59.35660546472486,18.08624267578125,81319.0,1850000.0
20210122.0,Johan Skyttes väg 374,94.0,4.0,BOSTHLM Älvsjö,5757.0,6250000.0,36.0,59.279873622523965,17.977066040039062,66489.0,1562500.0
20210121.0,Gransätragränd 21,92.0,4.0,Notar,5242.0,3750000.0,29.0,59.283731865392866,17.9132080078125,40761.0,937500.0
